,,,
chemical,temp_K,ce_mg_L,qe_mg_g
,,,
amoxiciliin,303.15,18.9,8.71
amoxiciliin,303.15,42.5,14.8
amoxiciliin,303.15,62.3,21.73
amoxiciliin,303.15,89.9,24.35
amoxiciliin,303.15,102.5,25.91
amoxiciliin,303.15,121.5,26.05
amoxiciliin,313.15,15.4,12.35
amoxiciliin,313.15,38.6,24.33
amoxiciliin,313.15,65.7,33.44
amoxiciliin,313.15,82.5,36.71
amoxiciliin,313.15,90.5,37.82
amoxiciliin,313.15,110.5,38.56
amoxiciliin,323.15,22.4,18.71
amoxiciliin,323.15,45.6,37.53
amoxiciliin,323.15,72.5,47.58
amoxiciliin,323.15,90.4,51.53
amoxiciliin,323.15,112.5,53.81
amoxiciliin,323.15,128.5,54.89
Ampicillin,303.15,18.3,15.41
Ampicillin,303.15,48.3,33.51
Ampicillin,303.15,68.5,40.31
Ampicillin,303.15,85.6,45.87
Ampicillin,303.15,110.2,48.12
Ampicillin,303.15,121.3,50.12
Ampicillin,303.15,132.5,52.34
Ampicillin,313.15,25.4,24.32
Ampicillin,313.15,39.5,33.51
Ampicillin,313.15,62.5,40.38
Ampicillin,313.15,80.3,48.47
Ampicillin,313.15,99.8,51.24
Ampicillin,313.15,117.6,53.28
Ampicillin,313.15,130.5,54.08
Ampicillin,323.15,28.1,30.58
Ampicillin,323.15,44.5,41.7
Ampicillin,323.15,59.8,47.52
Ampicillin,323.15,81.5,52.89
Ampicillin,323.15,94.3,55.78
Ampicillin,323.15,110.1,57.83
Ampicillin,323.15,127.5,58.47
Doripenem,303.15,18.2,20.51
Doripenem,303.15,35.2,28.84
Doripenem,303.15,62.5,37.15
Doripenem,303.15,79.6,44.32
Doripenem,303.15,96.5,48.52
Doripenem,303.15,108.5,49.78
Doripenem,303.15,132.3,51.21
Doripenem,313.15,12.3,18.9
Doripenem,313.15,30.5,35.47
Doripenem,313.15,50.3,41.58
Doripenem,313.15,62.5,47.83
Doripenem,313.15,80.6,52.78
Doripenem,313.15,98.7,55.26
Doripenem,313.15,112.2,56.98
Doripenem,323.15,24.4,25.35
Doripenem,323.15,41.6,48.97
Doripenem,323.15,62.4,57.98
Doripenem,323.15,78.5,60.89
Doripenem,323.15,89.7,63.24
Doripenem,323.15,108.6,65.87
Doripenem,323.15,122.8,66.81
